PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão;9295;Mestrado 2.º ciclo;55;30;25;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Marketing;9314;Mestrado 2.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Sociologia;9333;Mestrado 2.º ciclo;23;5;18;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão Empresarial;M148;Mestrado 2.º ciclo;62;23;39;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia do Turismo e Desenvolvimento Regional;M500;Mestrado 2.º ciclo;3;1;2;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia Financeira;M832;Mestrado 2.º ciclo;6;4;2;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração e Gestão Pública;6005;Mestrado 2.º ciclo;66;22;44;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências da Educação;6031;Mestrado 2.º ciclo;;;;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Criação Artística Contemporânea;6063;Mestrado 2.º ciclo;21;5;16;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Geomateriais e Recursos Geológicos;6136;Mestrado 2.º ciclo;16;11;5;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gerontologia;6137;Mestrado 2.º ciclo;;;;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão e Planeamento em Turismo;6152;Mestrado 2.º ciclo;73;19;54;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;6183;Mestrado 2.º ciclo;;;;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;6198;Mestrado 2.º ciclo;44;25;19;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Sistemas Energéticos Sustentáveis;6242;Mestrado 2.º ciclo;26;19;7;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Comunicação Multimédia;6408;Mestrado 2.º ciclo;95;51;44;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Tradução Especializada;6430;Mestrado 2.º ciclo;25;3;22;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Planeamento Regional e Urbano;6431;Mestrado 2.º ciclo;42;15;27;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Estudos Ambientais;6433;Mestrado 2.º ciclo;14;2;12;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biomedicina Molecular;6434;Mestrado 2.º ciclo;44;11;33;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;6435;Mestrado 2.º ciclo;63;20;43;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Estudos Editoriais;6440;Mestrado 2.º ciclo;40;5;35;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Automação Industrial;6442;Mestrado 2.º ciclo;26;25;1;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ensino de Biologia e Geologia no 3.º Ciclo do Ensino Básico e no Ensino Secundário;6449;Mestrado 2.º ciclo;;;;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;Mestrado 2.º ciclo;4;0;4;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Materiais e Dispositivos Biomédicos;6621;Mestrado 2.º ciclo;20;4;16;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;Mestrado 2.º ciclo;47;1;46;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração Pública;9002;Licenciatura 1.º ciclo;247;89;158;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;332;130;202;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia e Geologia;9012;Licenciatura 1.º ciclo;78;37;41;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Bioquímica;9015;Licenciatura 1.º ciclo;205;67;138;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biotecnologia;9016;Licenciatura 1.º ciclo;189;80;109;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências do Mar;9041;Licenciatura 1.º ciclo;98;50;48;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9069;Licenciatura 1.º ciclo;179;48;131;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;185;92;93;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Informática;9119;Licenciatura 1.º ciclo;230;198;32;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Física;9141;Licenciatura 1.º ciclo;45;37;8;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Geologia;9146;Licenciatura 1.º ciclo;47;27;20;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;165;65;100;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Estudos Editoriais;9194;Licenciatura 1.º ciclo;85;23;62;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;9196;Licenciatura 1.º ciclo;285;47;238;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura 1.º ciclo;99;20;79;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Matemática;9209;Licenciatura 1.º ciclo;76;35;41;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Meteorologia, Oceanografia e Geofísica;9212;Licenciatura 1.º ciclo;68;41;27;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;9214;Licenciatura 1.º ciclo;183;97;86;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Novas Tecnologias da Comunicação;9215;Licenciatura 1.º ciclo;254;130;124;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;125;27;98;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Química;9223;Licenciatura 1.º ciclo;31;13;18;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Tradução;9252;Licenciatura 1.º ciclo;105;28;77;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciência Política;9267;Mestrado 2.º ciclo;40;19;21;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9277;Mestrado 2.º ciclo;46;10;36;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9280;Mestrado 2.º ciclo;78;30;48;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Informática;9286;Mestrado 2.º ciclo;71;63;8;2018/19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9295;Mestrado 2.º ciclo;81;20;61;2018/19
